timestamps,TP9,AF7,AF8,TP10,Right AUX
1678490404.433,-9.766,35.645,31.738,-51.758,-178.711
1678490404.437,41.992,34.180,23.926,89.355,172.852
1678490404.441,26.367,36.133,24.902,47.363,247.070
1678490404.445,-23.438,29.785,31.250,-87.891,-121.582
1678490404.449,-22.461,27.832,31.738,-81.543,-270.020
1678490404.453,25.879,37.598,29.785,60.547,79.102
1678490404.457,39.062,36.133,32.227,86.426,350.098
1678490404.460,-12.207,37.109,34.668,-68.359,6.836
1678490404.464,-29.297,46.875,34.180,-98.633,-220.703
1678490404.468,20.020,41.016,30.273,27.832,-38.574
1678490404.472,55.176,29.297,25.391,107.422,309.570
1678490404.476,5.859,35.156,28.809,-28.809,104.492
1678490404.479,43.945,35.156,29.785,107.910,268.066
1678490404.483,10.742,31.250,28.809,16.602,216.797
1678490404.487,-36.133,25.391,26.855,-106.445,-161.133
1678490404.491,-19.531,27.344,23.926,-59.570,-226.074
1678490404.495,40.527,33.203,25.391,90.332,137.695
1678490404.498,33.691,34.180,29.297,60.059,284.180
1678490404.502,-24.414,30.762,27.832,-84.961,-83.008
1678490404.506,-23.926,31.738,23.926,-90.332,-280.273
1678490404.510,21.973,31.738,18.066,39.062,6.348
1678490404.514,34.180,28.320,22.461,82.031,313.477
1678490404.527,-10.254,35.645,33.691,-61.035,45.410
1678490404.531,-30.273,37.109,32.227,-102.051,-243.164
1678490404.535,9.277,34.180,30.273,13.672,-101.074
1678490404.539,58.105,37.598,32.715,115.234,291.016
1678490404.543,18.066,30.762,35.156,-2.930,145.996
1678490404.547,-12.207,29.785,31.738,-88.867,-186.523
1678490404.551,5.371,31.738,27.832,-22.949,-165.039
1678490404.554,43.457,30.273,25.879,104.492,223.145
1678490404.558,18.555,30.273,25.879,29.297,227.051
1678490404.562,-24.902,29.297,27.344,-93.750,-150.879
1678490404.566,-11.230,32.227,29.297,-59.570,-204.590
1678490404.570,41.016,34.668,26.367,82.031,163.086
1678490404.565,34.668,32.715,23.926,67.383,322.266
1678490404.569,-14.648,38.574,28.320,-75.684,-41.992
1678490404.573,-17.578,43.457,23.926,-86.426,-238.281
1678490404.577,22.461,37.109,20.508,36.133,-1.953
1678490404.581,45.898,31.738,22.461,94.238,311.523
1678490404.585,1.465,35.645,18.555,-45.898,66.895
1678490404.589,-21.484,38.574,20.996,-103.027,-209.473
1678490404.592,6.348,31.738,20.020,-3.418,-87.402
1678490404.596,39.062,29.785,19.531,100.098,278.809
1678490404.600,0.000,31.738,24.414,-10.254,137.207
1678490404.604,-34.180,34.668,28.809,-102.539,-203.613
1678490404.608,-19.043,37.598,25.879,-44.922,-200.195
1678490404.621,29.297,35.156,20.020,90.820,188.965
1678490404.625,19.531,34.668,23.926,38.086,258.301
1678490404.629,-26.367,32.227,21.484,-95.215,-101.074
1678490404.633,-25.879,24.902,20.020,-77.148,-194.336
1678490404.637,23.438,26.855,19.043,67.871,133.789
1678490404.641,33.691,34.180,19.531,82.031,321.777
1678490404.645,-17.090,33.691,33.203,-69.336,-43.945
1678490404.648,-33.691,34.180,37.109,-92.773,-214.355
1678490404.652,11.719,28.809,29.297,30.762,24.902
1678490404.656,41.992,22.461,27.832,96.191,304.688
1678490404.660,-6.836,28.320,31.738,-36.621,79.590
1678490404.664,-33.691,30.273,31.250,-101.562,-186.035
1678490404.659,2.441,30.273,28.320,-10.742,-84.961
1678490404.663,56.152,38.086,26.367,111.328,266.602
1678490404.667,20.996,38.574,28.320,13.184,170.410
1678490404.671,-21.484,32.227,33.203,-93.750,-181.641
1678490404.675,-3.906,31.738,30.762,-45.898,-207.520
1678490404.679,50.781,34.668,22.461,93.750,150.391
1678490404.683,36.621,32.715,31.250,57.129,243.164
1678490404.686,-20.508,32.715,34.180,-82.031,-118.164
1678490404.690,-21.973,34.668,29.297,-82.520,-233.398
1678490404.694,26.367,30.762,25.391,49.316,53.223
1678490404.698,38.574,27.832,28.809,83.496,297.852
1678490404.702,-4.395,37.109,35.156,-51.270,30.762
1678490404.715,-21.973,39.062,34.668,-89.844,-225.098
1678490404.719,11.230,31.738,31.738,18.555,-64.453
