timestamps,TP9,AF7,AF8,TP10,Right AUX
1669164803.215,13.184,36.133,39.062,4.395,22.461
1669164803.219,11.230,29.785,36.621,-1.953,4.395
1669164803.223,18.555,32.227,42.480,-3.906,3.418
1669164803.227,17.090,31.250,36.133,-3.906,-29.785
1669164803.231,16.113,28.320,31.738,-0.488,-12.695
1669164803.235,17.578,29.297,33.203,7.812,10.254
1669164803.239,16.113,30.762,33.691,3.418,-31.738
1669164803.242,14.160,35.156,32.715,4.883,-24.414
1669164803.246,5.371,34.668,32.715,2.930,-8.301
1669164803.250,0.977,30.273,36.133,-5.371,15.625
1669164803.254,7.324,32.715,40.527,2.930,9.766
1669164803.258,3.906,32.227,41.016,2.441,-2.930
1669164803.271,3.906,27.832,38.574,0.488,-7.812
1669164803.275,16.113,27.832,37.109,9.277,-32.715
1669164803.279,23.438,34.180,38.086,3.906,-22.461
1669164803.283,22.461,33.203,38.086,4.883,-15.137
1669164803.287,26.367,34.668,36.621,13.184,24.902
1669164803.291,21.973,36.621,35.156,3.906,1.953
1669164803.295,8.301,27.832,27.832,-0.977,-30.273
1669164803.298,15.625,22.949,26.855,6.348,9.277
1669164803.302,19.043,23.926,31.738,5.859,15.137
1669164803.306,14.160,24.902,28.320,0.488,16.113
1669164803.310,16.602,22.949,29.297,-2.441,-3.906
1669164803.314,18.555,26.855,37.598,6.348,21.484
1669164803.308,24.902,32.715,36.621,12.695,22.949
1669164803.312,28.320,28.809,31.250,10.254,13.672
1669164803.316,20.020,24.902,24.902,12.207,20.020
1669164803.320,18.066,29.297,32.227,12.695,-16.113
1669164803.324,25.879,33.691,47.852,18.555,-6.348
1669164803.328,27.832,31.250,43.457,19.531,13.184
1669164803.332,24.414,30.273,40.527,13.672,11.719
1669164803.335,31.250,35.156,47.363,16.113,-18.066
1669164803.339,23.438,33.203,41.504,11.719,-11.230
1669164803.343,8.301,25.879,38.574,7.324,37.598
1669164803.347,12.207,32.227,39.062,10.742,23.438
1669164803.351,18.555,43.457,37.598,9.277,2.930
1669164803.364,17.090,35.156,35.156,5.859,-8.789
1669164803.368,15.137,31.738,36.133,12.695,-9.277
1669164803.372,18.555,36.621,36.621,14.160,-10.254
1669164803.376,16.602,35.156,31.738,-0.488,-16.602
1669164803.380,24.414,36.133,36.133,6.348,5.371
1669164803.384,29.785,38.574,45.410,16.113,-7.324
1669164803.388,20.996,33.203,42.480,7.812,-8.301
1669164803.391,19.043,33.203,39.062,11.230,0.000
1669164803.395,17.578,31.250,33.203,17.090,20.020
1669164803.399,16.113,31.738,39.062,13.672,42.480
1669164803.403,12.695,30.762,47.363,9.766,13.184
1669164803.407,6.836,24.414,45.410,8.789,-20.020
1669164803.402,4.395,24.902,45.410,2.441,-15.137
1669164803.406,10.254,28.320,47.363,4.395,12.207
1669164803.410,18.066,27.344,41.992,9.766,40.527
1669164803.414,13.672,21.484,33.691,6.348,35.156
1669164803.418,7.812,22.461,35.156,10.254,9.277
1669164803.422,17.090,33.203,39.551,14.160,-2.441
1669164803.426,20.020,33.203,38.574,8.301,12.207
1669164803.429,13.672,27.832,43.457,5.371,29.297
1669164803.433,24.414,31.250,36.621,5.371,3.906
1669164803.437,35.156,27.344,24.902,-0.488,-11.230
1669164803.441,18.555,25.879,32.227,-1.465,1.465
1669164803.445,9.766,35.156,36.133,1.953,-2.441
1669164803.458,11.719,39.062,34.668,-0.488,-40.527
1669164803.462,8.301,35.156,29.297,-4.395,-23.438
