timestamps,TP9,AF7,AF8,TP10,Right AUX
1673916834.611,1.465,13.184,24.902,-14.648,41.016
1673916834.615,41.992,4.883,37.598,26.855,48.828
1673916834.619,47.852,13.184,35.645,16.113,53.223
1673916834.623,7.324,8.789,35.156,-1.465,54.199
1673916834.627,43.945,32.715,36.133,13.672,33.203
1673916834.631,55.664,43.457,21.484,15.625,39.062
1673916834.635,27.832,21.484,-6.836,-30.273,58.105
1673916834.638,36.133,25.391,24.414,-0.488,20.996
1673916834.642,25.879,30.762,51.270,23.926,-16.113
1673916834.646,32.227,29.297,58.105,31.738,2.930
1673916834.650,40.527,30.762,46.387,0.488,34.180
1673916834.654,14.648,25.391,28.320,-24.414,48.828
1673916834.668,1.953,19.531,39.062,-12.207,22.461
1673916834.672,16.602,7.324,44.434,17.090,-17.090
1673916834.676,43.945,8.789,61.523,42.480,19.531
1673916834.680,33.203,22.461,53.711,5.859,62.012
1673916834.684,13.184,24.902,17.578,-28.809,43.457
1673916834.688,20.508,24.902,31.250,-21.484,29.297
1673916834.692,28.809,22.461,30.273,-6.836,8.789
1673916834.695,32.715,5.859,13.184,1.953,27.832
1673916834.699,22.949,-12.207,14.648,-23.926,32.227
1673916834.703,30.273,6.348,23.438,-31.250,23.926
1673916834.707,38.574,36.621,32.715,-9.277,27.344
1673916834.711,22.949,50.293,40.527,0.488,5.371
1673916834.705,10.742,44.922,42.480,0.488,29.297
1673916834.709,19.043,34.180,25.391,-13.672,67.871
1673916834.713,43.945,25.391,36.133,13.672,51.758
1673916834.717,39.551,17.090,71.289,35.645,27.344
1673916834.721,19.531,31.250,56.152,20.508,62.988
1673916834.725,-11.719,20.996,24.414,-4.395,55.664
1673916834.729,-21.973,-9.766,45.410,-19.531,63.477
1673916834.732,-14.160,10.254,54.199,-20.508,50.781
1673916834.736,-25.391,39.551,40.039,-32.227,-4.883
1673916834.740,-33.691,39.551,41.016,-49.316,12.207
1673916834.744,13.672,36.621,37.598,-13.672,13.184
1673916834.748,38.086,40.527,45.898,18.066,41.016
1673916834.762,26.855,26.855,51.270,4.883,54.688
1673916834.766,9.766,4.395,41.504,-11.230,1.953
1673916834.770,-4.395,13.184,41.016,-24.902,23.926
1673916834.774,23.438,42.969,50.293,-3.418,49.316
1673916834.778,24.414,47.363,44.434,12.695,52.734
1673916834.782,9.766,32.715,42.480,-11.719,32.227
1673916834.786,-3.906,24.902,42.969,-38.086,0.488
1673916834.789,-6.836,23.926,45.898,-24.414,19.043
1673916834.793,8.301,24.902,48.340,10.254,34.668
1673916834.797,28.320,45.410,45.410,9.766,45.898
1673916834.801,31.250,59.082,39.062,-14.160,42.480
1673916834.805,16.113,45.898,39.062,-6.836,22.461
1673916834.800,2.930,37.109,25.879,5.859,47.363
1673916834.804,19.043,59.570,31.250,12.207,51.270
1673916834.808,42.969,59.570,47.363,-1.953,40.039
