timestamps,TP9,AF7,AF8,TP10,Right AUX
1677806090.095,-981.934,-828.613,-775.391,-368.164,-883.789
1677806090.099,666.992,-828.613,-1000.000,-1000.000,-1000.000
1677806090.103,-879.883,-726.074,-731.934,-122.070,-775.391
1677806090.107,-1000.000,-667.480,-234.375,-813.477,-270.996
1677806090.111,286.133,-765.137,-571.777,117.188,-569.336
1677806090.115,-848.145,-853.516,-1000.000,-1000.000,-1000.000
1677806090.119,-231.445,-727.539,-805.664,-362.793,-732.422
1677806090.122,-1000.000,-656.250,-287.598,-847.656,-372.070
1677806090.126,-176.758,-714.355,-437.500,355.957,-418.457
1677806090.130,-794.434,-826.172,-951.660,-1000.000,-790.527
1677806090.134,238.770,-800.293,-959.961,-858.398,-965.332
1677806090.138,-1000.000,-686.523,-476.074,698.242,-576.172
1677806090.141,363.281,-839.355,-1000.000,-1000.000,-1000.000
1677806090.145,-1000.000,-690.918,-586.426,57.129,-604.492
1677806090.149,-743.164,-685.547,-242.188,-968.750,-340.332
1677806090.153,868.652,-810.547,-708.984,-313.477,-786.621
1677806090.157,806.641,-822.266,-1000.000,-1000.000,-1000.000
1677806090.160,-737.305,-728.027,-760.254,-206.543,-804.688
1677806090.164,-1000.000,-690.918,-301.270,-833.984,-482.910
1677806090.168,139.160,-801.758,-611.328,150.391,-775.879
1677806090.172,-802.734,-863.770,-1000.000,-1000.000,-968.750
1677806090.176,-95.703,-706.543,-817.383,-540.527,-576.660
1677806090.171,-1000.000,-645.020,-318.848,-976.562,-385.742
1677806090.175,-197.754,-750.488,-473.633,324.219,-676.270
1677806090.179,-795.410,-869.141,-985.352,-1000.000,-1000.000
1677806090.183,265.625,-792.969,-926.270,-975.098,-838.379
1677806090.187,-1000.000,-646.973,-434.570,468.262,-458.984
1677806090.191,-411.621,-689.453,-291.504,761.719,-422.363
1677806090.195,-847.168,-812.012,-808.594,-755.859,-821.289
1677806090.198,435.547,-817.383,-1000.000,-1000.000,-1000.000
1677806090.202,-1000.000,-642.578,-536.133,-6.836,-321.777
1677806090.206,-902.832,-623.047,-173.828,-916.992,-138.184
1677806090.210,626.953,-813.477,-689.453,-200.195,-831.055
1677806090.214,976.074,-882.812,-1000.000,-1000.000,-1000.000
1677806090.226,-540.039,-752.930,-786.621,-281.738,-803.223
1677806090.230,-1000.000,-647.949,-231.934,-849.121,-253.418
1677806090.234,1.465,-749.023,-518.555,206.543,-579.102
1677806090.238,-781.250,-882.812,-1000.000,-1000.000,-1000.000
1677806090.242,74.219,-796.875,-903.809,-675.781,-905.762
1677806090.246,-1000.000,-656.250,-345.215,911.133,-330.566
1677806090.250,-211.914,-672.852,-307.617,469.727,-187.500
1677806090.253,-789.551,-837.402,-908.203,-996.094,-864.258
1677806090.257,273.438,-840.332,-1000.000,-1000.000,-1000.000
1677806090.261,-1000.000,-686.035,-537.598,211.914,-568.848
1677806090.265,-540.527,-681.641,-258.301,925.293,-307.129
1677806090.269,-915.527,-808.594,-724.609,-509.766,-669.922
1677806090.264,560.059,-856.445,-1000.000,-1000.000,-1000.000
1677806090.268,-974.121,-732.910,-693.359,-104.004,-766.113
1677806090.272,-1000.000,-708.008,-288.574,-878.418,-493.164
1677806090.276,420.410,-817.383,-663.086,-60.547,-787.598
1677806090.280,-907.715,-869.629,-1000.000,-1000.000,-1000.000
1677806090.284,-356.445,-736.816,-786.621,-322.266,-699.707
1677806090.288,-1000.000,-638.672,-264.648,-867.188,-290.039
1677806090.291,-123.535,-745.605,-527.344,175.781,-691.895
1677806090.295,-789.062,-833.008,-1000.000,-1000.000,-932.129
1677806090.299,193.848,-751.465,-926.270,-814.453,-744.141
1677806090.303,-1000.000,-691.406,-444.336,730.469,-529.297
1677806090.307,-242.676,-765.625,-416.992,508.789,-623.047
1677806090.320,-789.551,-874.023,-930.664,-975.098,-992.676
1677806090.324,293.457,-803.711,-974.609,-1000.000,-842.773
1677806090.328,-1000.000,-664.062,-533.203,143.066,-509.277
1677806090.332,-640.137,-714.844,-316.895,951.660,-539.062
1677806090.336,990.723,-859.863,-781.738,-479.004,-916.992
1677806090.340,688.965,-853.027,-1000.000,-1000.000,-969.238
1677806090.344,-859.863,-675.781,-624.023,-110.840,-396.484
1677806090.347,-1000.000,-662.598,-229.004,-834.473,-307.617
1677806090.351,239.258,-812.500,-637.207,63.965,-809.570
1677806090.355,-831.055,-892.090,-1000.000,-1000.000,-1000.000
1677806090.359,-188.477,-758.789,-811.523,-406.250,-740.234
1677806090.363,-1000.000,-656.738,-282.227,-876.953,-339.355
1677806090.358,-183.594,-758.301,-498.535,279.297,-675.293
1677806090.362,-793.457,-881.348,-999.023,-1000.000,-1000.000
1677806090.366,255.371,-811.523,-956.055,-976.074,-942.871
1677806090.370,-1000.000,-643.066,-434.082,481.445,-402.832
1677806090.374,-324.219,-688.477,-327.148,621.582,-402.344
1677806090.378,-812.012,-834.961,-875.977,-880.859,-927.246
1677806090.382,398.438,-821.777,-1000.000,-1000.000,-976.074
1677806090.385,-1000.000,-714.355,-627.441,-6.348,-706.543
1677806090.389,-792.969,-669.922,-206.543,-923.340,-208.496
1677806090.393,802.246,-781.250,-618.652,-230.469,-517.578
1677806090.397,867.676,-878.418,-1000.000,-1000.000,-1000.000
1677806090.401,-668.457,-756.836,-772.949,-235.840,-811.035
1677806090.414,-1000.000,-689.453,-291.992,-872.070,-429.688
1677806090.418,83.008,-761.230,-561.035,124.023,-596.191
1677806090.422,-783.203,-862.305,-1000.000,-1000.000,-999.023
1677806090.426,3.906,-784.668,-890.137,-612.793,-884.277
1677806090.430,-1000.000,-687.012,-384.277,959.961,-512.695
1677806090.434,-206.055,-731.934,-408.203,395.508,-448.242
1677806090.438,-790.527,-807.129,-925.781,-1000.000,-746.582
1677806090.441,270.996,-791.992,-981.445,-1000.000,-968.750
1677806090.445,-1000.000,-688.965,-500.977,405.762,-619.141
1677806090.449,-444.824,-733.398,-345.703,735.840,-568.359
1677806090.453,-862.793,-838.379,-839.844,-764.160,-911.133
1677806090.457,483.398,-807.129,-1000.000,-1000.000,-963.379
1677806090.470,-1000.000,-704.590,-676.758,-64.453,-712.891
1677806090.474,-926.270,-707.031,-306.641,-907.227,-500.977
1677806090.478,598.633,-832.031,-691.406,-151.855,-820.801
1677806090.482,992.676,-866.211,-1000.000,-1000.000,-1000.000
1677806090.486,-505.859,-740.234,-794.922,-304.688,-813.477
1677806090.490,-1000.000,-659.180,-246.094,-849.121,-309.570
1677806090.494,-51.758,-742.188,-484.375,246.094,-519.531
1677806090.497,-794.434,-883.301,-1000.000,-1000.000,-1000.000
1677806090.501,71.777,-755.371,-824.219,-610.840,-622.559
1677806090.505,-1000.000,-585.938,-233.398,959.473,-35.156
1677806090.509,-209.961,-698.242,-383.789,450.684,-533.203
